knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K03319	493.20	full	trim	0.934579	1134	712	1182	474	2.18	0.590	divalent anion:Na+ symporter, DASS family
K03320	136.13	full	all	0.991400	7060	6009	9147	401	3.92	0.590	ammonium transporter, Amt family
K03321	323.00	full	all	0.899778	5145	4317	8131	541	7.48	0.590	sulfate permease, SulP family
K03322	484.67	domain	trim	0.913413	2529	1809	2033	435	2.07	0.590	manganese transport protein
K03323	308.27	full	all	0.971450	203	200	2055	494	1.85	0.590	solute carrier family 29 (equilibrative nucleoside transporter), member 4
K03324	167.53	domain	all	0.996881	2274	1769	2405	532	6.25	0.590	phosphate:Na+ symporter
K03325	77.50	domain	all	0.979481	2299	1995	1383	346	2.29	0.590	arsenite transporter
K03326	90.77	full	all	1.000000	917	609	818	456	2.98	0.590	C4-dicarboxylate transporter, DcuC family
K03327	96.33	full	all	0.990790	10012	8942	13468	444	7.13	0.590	multidrug resistance protein, MATE family
K03328	190.00	domain	all	0.504773	789	531	1682	439	15.18	0.590	polysaccharide transporter, PST family
K03329	278.40	full	all	0.983740	159	62	246	210	0.81	0.591	amino acid exporter
K03330	288.70	domain	all	1.000000	288	262	927	632	1.59	0.590	glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]
K03331	229.63	domain	all	0.804925	250	242	777	244	1.83	0.590	L-xylulose reductase [EC:1.1.1.10]
K03332	470.40	full	all	0.813607	548	496	5926	527	2.48	0.590	fructan beta-fructosidase [EC:3.2.1.80]
K03333	311.13	full	trim	0.982649	935	813	3189	503	4.03	0.590	cholesterol oxidase [EC:1.1.3.6]
K03334	464.43	full	all	0.930055	256	253	1686	522	1.46	0.590	L-amino-acid oxidase [EC:1.4.3.2]
K03335	100.93	domain	all	0.993076	1640	1303	1462	301	4.63	0.590	inosose dehydratase [EC:4.2.1.44]
K03336	396.67	full	trim	0.992487	1264	991	1495	623	1.52	0.590	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]
K03337	139.40	full	all	0.990989	1263	951	852	274	2.82	0.590	5-deoxy-glucuronate isomerase [EC:5.3.1.30]
K03338	271.40	full	all	0.993644	1221	952	1433	335	2.06	0.589	5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]
K03339	472.60	full	all	0.792029	146	75	314	284	0.78	0.592	6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase [EC:4.1.2.29]
K03340	206.53	full	all	1.000000	313	291	526	325	1.89	0.590	diaminopimelate dehydrogenase [EC:1.4.1.16]
K03341	170.60	full	all	0.996146	265	258	2120	482	1.52	0.590	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase [EC:2.9.1.2]
K03342	479.53	full	all	0.965727	823	677	2792	582	2.12	0.590	para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38]
K03343	577.33	full	all	0.994350	100	92	593	454	0.85	0.589	putrescine oxidase [EC:1.4.3.10]
K03344	220.60	full	all	1.000000	133	110	1251	324	1.10	0.591	Dvl-binding protein IDAX
K03345	532.30	full	all	0.980572	134	132	1638	572	1.51	0.590	sentrin-specific protease 2 (axin associating molecule) [EC:3.4.22.68]
K03346	90.40	full	all	1.000000	863	609	1476	443	6.67	0.590	replication initiation and membrane attachment protein
K03347	670.40	full	all	0.830693	910	823	4479	713	4.42	0.590	cullin 1
K03348	132.07	full	all	1.000000	488	486	10178	1613	5.22	0.590	anaphase-promoting complex subunit 1
K03349	126.63	full	all	0.998942	483	473	5429	736	4.29	0.590	anaphase-promoting complex subunit 2
K03350	226.73	domain	trim	0.966879	567	542	3860	634	4.10	0.590	anaphase-promoting complex subunit 3
K03351	77.37	domain	all	0.994111	429	422	3972	686	8.37	0.590	anaphase-promoting complex subunit 4
K03352	71.03	domain	all	0.987509	458	438	4097	684	10.80	0.590	anaphase-promoting complex subunit 5
K03353	139.67	domain	trim	0.987368	499	478	3779	540	2.99	0.590	anaphase-promoting complex subunit 6
K03354	132.20	domain	all	0.968753	423	394	2327	529	6.94	0.590	anaphase-promoting complex subunit 7
K03355	223.83	domain	all	0.985882	522	504	5397	552	2.87	0.590	anaphase-promoting complex subunit 8
K03356	132.80	full	all	1.000000	13	13	445	265	1.79	0.590	anaphase-promoting complex subunit 9
K03357	86.33	domain	all	0.993072	525	433	3048	194	2.14	0.590	anaphase-promoting complex subunit 10
K03358	86.63	full	all	0.984764	441	331	1003	84	1.14	0.676	anaphase-promoting complex subunit 11
K03359	39.47	full	trim	0.987755	142	120	239	80	2.89	0.708	anaphase-promoting complex subunit 12
K03360	295.67	domain	all	0.984848	136	134	2869	585	2.20	0.590	F-box and leucine-rich repeat protein GRR1
K03361	526.03	domain	all	0.937918	220	220	4580	524	1.85	0.590	F-box and WD-40 domain protein CDC4
K03362	366.70	domain	all	0.921211	517	438	4876	425	3.30	0.590	F-box and WD-40 domain protein 1/11
K03363	514.33	full	all	0.819982	876	841	5185	453	2.88	0.590	cell division cycle 20, cofactor of APC complex
K03364	520.50	full	all	0.925833	787	725	4899	455	2.43	0.590	cell division cycle 20-like protein 1, cofactor of APC complex
K03365	123.73	full	all	0.993435	510	458	526	149	1.27	0.590	cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
K03366	296.77	domain	trim	0.946880	901	644	500	260	2.14	0.591	meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]
K03367	410.37	domain	all	0.993421	698	461	847	506	2.16	0.590	D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]
K03368	459.63	full	all	0.791651	236	220	1600	346	1.98	0.590	beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4B) [EC:2.4.99.4]
K03369	475.37	full	trim	0.889087	160	143	1124	379	1.62	0.590	alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8E) [EC:2.4.99.-]
K03370	388.03	full	all	0.962718	157	152	681	387	1.21	0.591	lactosylceramide alpha-2,3-sialyltransferase (sialyltransferase 9) [EC:2.4.99.9]
K03371	439.10	full	all	0.834562	156	146	1035	332	1.55	0.591	alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8A) [EC:2.4.99.8]
K03372	160.33	full	all	0.993316	309	302	2031	503	2.59	0.589	MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1 [EC:2.3.1.-]
K03373	425.27	domain	all	0.880415	134	123	1077	304	1.17	0.589	N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7C) [EC:2.4.99.-]
K03374	390.97	domain	all	0.863253	113	110	978	299	1.67	0.590	N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7D) [EC:2.4.99.7]
K03375	435.47	domain	all	0.920389	166	156	1086	313	1.33	0.590	N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7E) [EC:2.4.99.-]
K03376	440.67	full	all	0.948925	133	124	1438	308	1.09	0.590	N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7F) [EC:2.4.99.-]
K03377	38.87	full	all	0.995980	638	622	4982	662	4.50	0.590	N-acetylneuraminate 9-O-acetyltransferase [EC:2.3.1.45]
K03378	-	-	-	-	1	1	296	296	0.39	0.589	morphine 6-dehydrogenase [EC:1.1.1.218]
K03379	517.37	full	all	0.789418	184	161	1345	524	2.18	0.590	cyclohexanone monooxygenase [EC:1.14.13.22]
K03380	303.73	full	all	0.967737	438	428	3426	605	2.15	0.590	phenol 2-monooxygenase [EC:1.14.13.7]
K03381	300.53	domain	trim	0.854802	991	853	1175	287	2.70	0.590	catechol 1,2-dioxygenase [EC:1.13.11.1]
K03382	777.90	full	all	1.000000	20	19	491	468	0.62	0.593	hydroxydechloroatrazine ethylaminohydrolase [EC:3.5.4.43]
K03383	455.53	full	all	0.921219	66	62	455	370	1.33	0.590	cyanuric acid amidohydrolase [EC:3.5.2.15]
K03385	131.47	full	all	0.999056	723	533	1451	441	2.74	0.590	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]
K03386	177.93	domain	all	0.802807	5741	3795	2648	195	3.15	0.590	peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]
K03387	358.73	domain	trim	0.986334	1689	1228	943	517	1.33	0.590	alkyl hydroperoxide reductase subunit F [EC:1.6.4.-]
K03388	784.50	full	all	0.812211	465	427	3677	644	2.51	0.590	heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
K03389	296.67	full	trim	0.747059	430	369	1019	294	3.07	0.590	heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
K03390	115.07	full	trim	0.803618	396	324	636	173	3.17	0.590	heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
K03391	-	-	-	-	1	1	538	538	0.38	0.587	pentachlorophenol monooxygenase [EC:1.14.13.50]
K03392	236.10	full	trim	0.953458	641	611	1045	328	4.13	0.590	aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45]
K03393	-	-	-	-	1	1	279	279	0.39	0.592	phenylalanine 3-monooxygenase [EC:1.14.16.7]
K03394	122.07	domain	all	0.787387	1639	1317	1013	237	3.26	0.590	precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]
K03395	76.20	full	all	0.981818	101	81	488	160	1.72	0.590	aminoglycoside 3-N-acetyltransferase I [EC:2.3.1.60]
K03396	136.40	full	all	0.991825	206	182	416	192	1.07	0.590	S-(hydroxymethyl)glutathione synthase [EC:4.4.1.22]
K03397	365.93	full	all	1.000000	14	12	466	405	1.07	0.589	indoleacetate---lysine synthetase [EC:6.3.2.20]
K03399	166.63	domain	all	0.860750	563	420	689	209	3.64	0.590	cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]
K03400	871.70	full	all	1.000000	9	9	481	478	0.51	0.593	long-chain-fatty-acyl-CoA reductase [EC:1.2.1.50]
K03402	59.33	full	all	1.000000	2864	1625	591	157	2.89	0.590	transcriptional regulator of arginine metabolism
K03403	1106.80	full	trim	0.976383	473	439	2763	1259	1.46	0.591	magnesium chelatase subunit H [EC:6.6.1.1]
K03404	442.37	full	all	0.867507	1011	907	3627	590	4.91	0.590	magnesium chelatase subunit D [EC:6.6.1.1]
K03405	228.60	domain	trim	0.522214	1238	1101	1888	378	2.89	0.590	magnesium chelatase subunit I [EC:6.6.1.1]
K03406	52.50	domain	all	0.749771	25521	22394	40885	392	8.83	0.590	methyl-accepting chemotaxis protein
K03407	469.90	domain	all	0.897487	4095	3523	11237	596	6.45	0.590	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
K03408	98.57	full	all	0.834489	5303	4047	8160	153	8.71	0.590	purine-binding chemotaxis protein CheW
K03409	47.13	domain	all	0.900628	822	635	789	152	11.04	0.590	chemotaxis protein CheX
K03410	104.33	domain	trim	0.934361	1040	816	1458	205	6.35	0.590	chemotaxis protein CheC
K03411	69.40	full	all	0.994030	1675	1332	998	161	3.14	0.590	chemotaxis protein CheD [EC:3.5.1.44]
K03412	177.43	domain	all	0.887810	4224	3492	3454	320	5.33	0.590	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]
K03413	113.00	domain	all	0.756261	5587	3871	1909	124	5.11	0.590	two-component system, chemotaxis family, chemotaxis protein CheY
K03414	46.40	domain	trim	1.000000	1358	936	859	226	4.65	0.590	chemotaxis protein CheZ
K03415	150.73	domain	all	0.993176	2043	1468	1267	312	2.39	0.590	two-component system, chemotaxis family, chemotaxis protein CheV
K03416	904.50	full	all	1.000000	90	51	563	498	0.54	0.590	methylmalonyl-CoA carboxyltransferase 5S subunit [EC:2.1.3.1]
K03417	355.87	full	trim	0.986140	1520	1096	756	295	2.48	0.589	methylisocitrate lyase [EC:4.1.3.30]
K03418	360.87	full	all	1.000000	82	75	1213	749	2.28	0.591	N,N-dimethylformamidase [EC:3.5.1.56]
K03419	1134.43	full	all	0.801985	139	137	1353	756	1.48	0.590	chondroitin polymerizing factor 2 [EC:2.4.1.226]
K03420	503.00	domain	all	0.984630	342	298	707	403	1.34	0.589	proteasome regulatory subunit
K03421	284.43	full	all	1.000000	94	77	251	202	0.70	0.592	methyl-coenzyme M reductase subunit C
K03422	120.97	full	all	1.000000	124	110	266	159	1.76	0.590	methyl-coenzyme M reductase subunit D
K03424	85.37	full	all	0.994972	9134	7278	8590	246	4.49	0.590	TatD DNase family protein [EC:3.1.21.-]
K03425	105.83	full	all	0.981601	391	142	106	67	1.37	0.838	sec-independent protein translocase protein TatE
K03426	85.10	full	all	0.997943	2717	2188	3142	296	3.26	0.590	NAD+ diphosphatase [EC:3.6.1.22]
K03427	108.10	full	all	0.974776	5252	4540	14054	447	7.55	0.590	type I restriction enzyme M protein [EC:2.1.1.72]
K03428	120.83	domain	all	0.998492	355	331	505	237	1.90	0.590	magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]
K03429	308.40	full	all	0.907148	681	541	1588	381	5.45	0.590	processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]
K03430	272.33	domain	all	0.973982	888	682	1583	373	2.28	0.590	2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]
K03431	421.53	full	trim	0.976011	4519	3317	1718	444	2.14	0.590	phosphoglucosamine mutase [EC:5.4.2.10]
K03432	184.97	full	all	0.960031	704	578	673	237	3.00	0.590	proteasome alpha subunit [EC:3.4.25.1]
K03433	183.67	domain	trim	0.980073	837	691	599	232	3.11	0.590	proteasome beta subunit [EC:3.4.25.1]
K03434	106.47	full	all	0.994036	509	502	2101	245	2.49	0.590	N-acetylglucosaminylphosphatidylinositol deacetylase [EC:3.5.1.89]
K03435	324.93	full	trim	0.952293	1023	630	662	340	3.45	0.590	LacI family transcriptional regulator, fructose operon transcriptional repressor
K03436	260.83	full	trim	0.845505	1414	979	531	254	3.38	0.590	DeoR family transcriptional regulator, fructose operon transcriptional repressor
K03437	191.90	domain	all	0.933584	3593	2841	2294	252	4.74	0.590	RNA methyltransferase, TrmH family
K03438	56.63	full	all	0.998847	5098	3897	2844	309	2.08	0.590	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
K03439	127.33	domain	all	0.974235	5054	3900	4464	216	4.62	0.590	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
K03440	256.63	full	all	0.810745	819	814	5389	435	6.05	0.590	acid-sensing ion channel, other
K03441	340.47	full	all	0.925048	177	176	2183	372	2.38	0.590	aquaglyceroporin related protein, other eukaryote
K03442	222.00	domain	trim	0.955924	2497	1889	1799	277	5.00	0.590	small conductance mechanosensitive channel
K03443	411.10	full	all	0.986666	157	152	1041	427	0.86	0.592	pannexin 1
K03444	732.07	full	all	1.000000	4	4	476	462	0.49	0.586	MFS transporter, SP family, sugar porter, other
K03445	449.70	full	all	0.895788	259	145	511	396	1.75	0.589	MFS transporter, DHA1 family, purine ribonucleoside efflux pump
K03446	334.10	domain	trim	0.971044	3720	2878	1402	509	5.76	0.590	MFS transporter, DHA2 family, multidrug resistance protein
K03447	488.93	full	trim	0.910443	174	168	1819	472	2.06	0.590	MFS transporter, OPA family, solute carrier family 37 (glycerol-3-phosphate transporter), member 3
K03448	277.00	full	all	0.983121	243	242	1865	464	2.06	0.590	MFS transporter, ACS family, pantothenate transporter
K03449	116.27	domain	all	0.996972	2652	2153	1836	381	4.54	0.590	MFS transporter, CP family, cyanate transporter
K03450	-	-	-	-	2	2	507	507	0.39	0.586	solute carrier family 7 (L-type amino acid transporter), other
K03451	627.27	full	all	0.774273	816	610	1138	511	1.99	0.590	betaine/carnitine transporter, BCCT family
K03452	338.67	domain	all	1.000000	103	102	1406	541	0.85	0.591	magnesium/proton exchanger
K03453	200.17	full	all	0.893867	2703	2288	3040	315	5.75	0.590	bile acid:Na+ symporter, BASS family
K03454	144.00	domain	all	0.997602	217	211	1300	377	2.01	0.590	solute carrier family 25, member 46
K03455	154.77	full	all	0.680455	4143	3245	3559	545	5.20	0.590	monovalent cation:H+ antiporter-2, CPA2 family
K03456	147.13	domain	all	0.974519	803	737	4776	581	4.65	0.590	serine/threonine-protein phosphatase 2A regulatory subunit A
K03457	159.40	full	all	0.927721	2715	2282	3263	497	5.62	0.590	nucleobase:cation symporter-1, NCS1 family
K03458	513.07	domain	trim	0.676391	431	350	1122	452	2.60	0.590	nucleobase:cation symporter-2, NCS2 family
K03459	509.27	full	all	0.939394	57	19	308	282	0.50	0.589	formate transporter
K03460	988.20	domain	all	0.982856	90	88	844	677	0.68	0.591	solute carrier organic anion transporter family, member 1A
K03462	103.23	domain	all	1.000000	698	586	1783	470	1.97	0.590	nicotinamide phosphoribosyltransferase [EC:2.4.2.12]
K03463	-	-	-	-	1	1	545	545	0.39	0.595	labda-7,13-dienyl diphosphate synthase [EC:5.5.1.30]
K03464	31.93	full	trim	0.996791	662	462	178	96	3.12	0.596	muconolactone D-isomerase [EC:5.3.3.4]
K03465	47.10	full	all	0.999143	1465	1171	3555	198	4.61	0.590	thymidylate synthase (FAD) [EC:2.1.1.148]
K03466	68.53	full	all	0.991455	7320	6058	22397	588	8.18	0.590	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family
K03468	382.17	full	all	1.000000	390	211	717	652	1.11	0.591	p-hydroxybenzoic acid efflux pump subunit AaeB
K03469	63.83	domain	all	0.844822	5221	4097	5252	148	6.47	0.590	ribonuclease HI [EC:3.1.26.4]
K03470	111.63	domain	all	0.989407	5137	3948	2621	192	2.75	0.590	ribonuclease HII [EC:3.1.26.4]
K03471	216.00	full	all	0.959594	793	503	700	297	3.38	0.590	ribonuclease HIII [EC:3.1.26.4]
K03472	488.40	full	all	0.892916	728	447	506	337	0.75	0.592	D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72]
K03473	286.80	full	all	0.998594	943	713	768	373	1.76	0.590	erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]
K03474	53.03	full	all	1.000000	2652	2064	1002	244	1.86	0.590	pyridoxine 5-phosphate synthase [EC:2.6.99.2]
K03475	38.13	domain	all	0.912809	1981	1183	1327	457	2.81	0.590	PTS system, ascorbate-specific IIC component
K03476	152.90	full	all	1.000000	615	306	502	342	1.62	0.589	L-ascorbate 6-phosphate lactonase [EC:3.1.1.-]
K03477	258.90	full	all	1.000000	493	260	379	258	1.54	0.590	DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor
K03478	88.33	full	all	0.997594	858	622	797	260	5.94	0.590	chitin disaccharide deacetylase [EC:3.5.1.105]
K03479	424.37	full	trim	0.909087	162	156	1542	485	1.81	0.589	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase (sialyltransferase 7A) [EC:2.4.99.3]
K03480	290.17	full	all	0.908691	460	302	415	281	2.11	0.590	transcriptional antiterminator
K03481	156.07	full	all	0.985329	349	207	388	256	3.26	0.590	RpiR family transcriptional regulator, glv operon transcriptional regulator
K03482	265.80	full	all	0.982077	297	141	338	234	1.24	0.590	GntR family transcriptional regulator, glv operon transcriptional regulator
K03483	428.43	domain	trim	0.926841	534	393	1131	691	6.14	0.590	mannitol operon transcriptional antiterminator
K03484	319.23	domain	trim	0.593412	1079	776	838	322	4.21	0.590	LacI family transcriptional regulator, sucrose operon repressor
K03485	379.73	full	all	0.995910	444	246	587	315	1.25	0.591	LacI family transcriptional regulator, trehalose operon repressor
K03486	206.50	full	all	0.970789	739	458	433	237	2.78	0.590	GntR family transcriptional regulator, trehalose operon transcriptional repressor
K03487	419.13	full	all	0.990577	305	214	418	337	1.26	0.591	LacI family transcriptional regulator, asc operon repressor
K03488	288.67	full	all	0.876140	1507	1031	739	282	3.12	0.590	beta-glucoside operon transcriptional antiterminator
K03489	214.37	full	all	1.000000	235	142	304	234	1.83	0.590	GntR family transcriptional regulator, transcriptional regulator of bglA
K03490	200.83	full	all	0.983232	347	149	445	292	3.11	0.590	AraC family transcriptional regulator, dual regulator of chb operon
K03491	477.13	domain	trim	0.792899	751	546	1445	643	7.90	0.590	lichenan operon transcriptional antiterminator
K03492	227.40	full	all	0.971481	474	270	311	238	1.79	0.590	GntR family transcriptional regulator
K03493	337.90	full	all	0.993197	126	74	604	552	1.81	0.590	transcriptional antiterminator
K03494	336.77	full	all	0.966781	145	141	1214	343	1.29	0.590	beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4C) [EC:2.4.99.4]
K03495	137.83	full	all	0.999198	4727	3737	4316	618	1.70	0.590	tRNA uridine 5-carboxymethylaminomethyl modification enzyme
K03496	124.80	full	all	0.816888	10828	8370	5856	236	8.31	0.590	chromosome partitioning protein
K03497	47.03	full	trim	0.973973	8527	6705	12898	260	13.82	0.590	chromosome partitioning protein, ParB family
K03498	54.03	full	all	0.998920	4102	3238	2624	462	4.86	0.590	trk system potassium uptake protein
K03499	129.83	full	trim	0.959486	5807	4255	1911	216	7.94	0.590	trk system potassium uptake protein
K03500	270.30	full	all	0.974263	5396	4480	5005	420	4.80	0.590	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
K03501	61.97	full	all	0.998130	4830	3741	2398	212	4.54	0.590	16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]
K03502	321.90	full	all	0.932865	2310	1847	1630	401	4.50	0.590	DNA polymerase V
K03503	116.50	full	all	0.902663	1562	1160	1206	136	4.24	0.590	DNA polymerase V [EC:3.4.21.-]
K03504	57.77	full	all	0.975834	429	424	2495	424	8.34	0.590	DNA polymerase delta subunit 3
K03505	34.33	full	all	1.000000	352	332	925	120	2.67	0.590	DNA polymerase delta subunit 4
K03506	97.40	full	all	0.843184	267	261	1067	119	2.97	0.590	DNA polymerase epsilon subunit 4 [EC:2.7.7.7]
K03507	283.17	domain	all	0.973314	113	113	3551	744	4.89	0.590	DNA replication regulator DPB11
K03508	128.70	full	all	0.982456	29	29	461	216	2.18	0.589	DNA polymerase zeta [EC:2.7.7.7]
K03509	320.40	full	all	0.959815	494	489	4666	571	4.46	0.590	DNA polymerase eta [EC:2.7.7.7]
K03510	323.57	full	trim	0.964376	250	246	3034	528	2.74	0.590	DNA polymerase iota [EC:2.7.7.7]
K03511	419.63	full	all	0.930201	395	395	4597	617	2.58	0.590	DNA polymerase kappa [EC:2.7.7.7]
K03512	441.63	full	trim	0.861099	300	292	3704	534	4.01	0.590	DNA polymerase lambda [EC:2.7.7.7 4.2.99.-]
K03513	591.03	full	trim	0.822509	126	125	1654	486	2.48	0.590	DNA polymerase mu [EC:2.7.7.7]
K03514	169.10	domain	all	0.938753	746	720	8072	436	5.40	0.590	non-canonical poly(A) RNA polymerase PAPD5/7 [EC:2.7.7.19]
K03515	356.67	full	all	0.984532	463	461	8225	907	3.15	0.590	DNA repair protein REV1 [EC:2.7.7.-]
K03516	57.30	full	all	1.000000	412	257	336	135	3.45	0.590	flagellar protein FlhE
K03517	53.83	full	trim	1.000000	3660	3004	2007	327	1.96	0.590	quinolinate synthase [EC:2.5.1.72]
K03518	207.00	domain	trim	0.717709	1788	1554	1408	166	1.61	0.590	aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]
K03519	272.30	full	trim	0.808516	1238	1102	970	290	4.80	0.590	aerobic carbon-monoxide dehydrogenase medium subunit [EC:1.2.5.3]
K03520	833.63	full	trim	0.936145	1162	1037	2090	774	2.73	0.590	aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]
K03521	49.30	full	all	0.984453	5022	4028	2119	251	4.54	0.590	electron transfer flavoprotein beta subunit
K03522	54.00	full	trim	0.981482	4998	4185	3660	313	3.73	0.590	electron transfer flavoprotein alpha subunit
K03523	46.43	full	all	0.997625	2870	2101	1173	177	4.83	0.590	biotin transport system substrate-specific component
K03524	141.60	full	all	0.936000	5077	3976	3960	240	5.11	0.590	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]
K03525	59.43	domain	trim	0.988287	3058	2448	2077	236	5.47	0.590	type III pantothenate kinase [EC:2.7.1.33]
K03526	71.20	full	all	0.999529	4273	3180	3893	407	1.63	0.590	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
K03527	41.47	full	all	0.928640	4528	3362	3475	317	3.88	0.590	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
K03528	73.13	full	all	0.998715	1066	779	1811	268	4.41	0.590	cell division protein ZipA
K03529	580.57	full	all	0.983881	3642	3151	7448	1154	7.04	0.590	chromosome segregation protein
K03530	101.37	full	all	0.670151	6483	3965	1575	91	5.48	0.627	DNA-binding protein HU-beta
K03531	137.80	full	all	0.993184	5743	4210	4193	343	3.61	0.590	cell division protein FtsZ
K03532	400.10	full	all	0.842391	513	331	564	351	3.11	0.590	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC
K03533	113.90	full	all	0.979863	353	222	392	209	3.90	0.590	TorA specific chaperone
K03534	35.00	full	all	0.996718	1480	1064	488	120	3.84	0.590	L-rhamnose mutarotase [EC:5.1.3.32]
K03535	548.07	full	trim	0.738683	912	590	944	438	2.18	0.590	MFS transporter, ACS family, glucarate transporter
K03536	21.10	domain	all	0.997692	4614	3252	1685	111	5.87	0.590	ribonuclease P protein component [EC:3.1.26.5]
K03537	48.97	domain	all	0.976205	688	627	1037	134	5.16	0.590	ribonuclease P/MRP protein subunit POP5 [EC:3.1.26.5]
K03538	22.47	domain	all	0.997120	740	692	1951	198	4.98	0.590	ribonuclease P protein subunit POP4 [EC:3.1.26.5]
K03539	30.37	full	all	0.992622	725	679	3241	292	5.78	0.590	ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5]
K03540	41.37	domain	all	0.991431	562	523	1156	140	4.62	0.590	ribonuclease P protein subunit RPR2 [EC:3.1.26.5]
K03541	104.50	full	all	1.000000	156	141	296	139	1.35	0.591	photosystem II 10kDa protein
K03542	98.57	full	all	1.000000	138	124	463	245	2.00	0.590	photosystem II 22kDa protein
K03543	264.50	full	all	0.966759	3665	2888	2459	346	4.46	0.590	membrane fusion protein, multidrug efflux system
K03544	126.23	domain	all	0.997057	5636	4089	4690	418	2.10	0.590	ATP-dependent Clp protease ATP-binding subunit ClpX
K03545	60.03	domain	all	0.998828	5097	3843	3258	437	9.04	0.590	trigger factor
K03546	184.03	domain	all	0.947628	2895	2534	10570	943	15.35	0.590	DNA repair protein SbcC/Rad50
K03547	103.17	domain	all	0.989308	3334	2732	3662	367	8.35	0.590	DNA repair protein SbcD/Mre11
K03548	189.53	full	all	0.993701	910	558	641	354	1.99	0.589	putative permease
K03549	51.47	domain	all	0.995819	4340	3693	7932	690	2.48	0.590	KUP system potassium uptake protein
K03550	44.80	domain	all	0.998850	4888	3478	1339	193	3.26	0.590	holliday junction DNA helicase RuvA [EC:3.6.4.12]
K03551	87.77	domain	trim	0.998853	4905	3488	1441	336	1.56	0.590	holliday junction DNA helicase RuvB [EC:3.6.4.12]
K03552	44.63	full	trim	1.000000	242	199	281	141	3.50	0.590	holliday junction resolvase Hjr [EC:3.1.22.4]
K03553	95.67	full	all	0.998377	5336	3705	3818	336	1.97	0.590	recombination protein RecA
K03554	46.23	full	all	1.000000	1436	1003	881	302	3.66	0.590	recombination associated protein RdgC
K03555	648.20	domain	all	0.990497	4144	3348	4755	838	2.61	0.590	DNA mismatch repair protein MutS
